"Name","Lat","Lon"
"GCD075 :: THE GREAT ESCAPE","42.9636500000","-78.9237330000"
"GCE297 :: Lumberjack's Haven","43.0578500000","-78.8726670000"
"GCG9EN :: 55 and Still Alive","43.0461170000","-78.8776670000"
"GC919D :: Olmsted #5 - Riverside Park","42.9540830000","-78.9106170000"
"GC8161 :: Dibble Hill Cache","42.3692000000","-79.2014000000"
"GCB940 :: Fishing High","43.3178500000","-78.7156000000"
"GC5FFF :: ERIE'S END","42.8952000000","-78.9053170000"
"GCGDYQ :: Olmsted #6 - The Front","42.9003500000","-78.8963500000"
"GCC951 :: Stumpy","43.0612500000","-78.8062000000"
"GC7D7E :: Olmsted #1b - The Park","42.9337170000","-78.8693500000"
"GC6813 :: Olmsted #1 - The Park","42.9306670000","-78.8674500000"
"GC7DA6 :: Olmsted #1c - The Park","42.9355330000","-78.8648500000"
"GCG114 :: Cardot Trail # 2","42.3112500000","-79.1758670000"
"GC600B :: A View To Nature (Winter Version)","43.0539000000","-78.7978000000"
"GCB943 :: Keg Creek Hollow","43.3450330000","-78.6534000000"
"GCAE3F :: Sons of Buffalo","42.8885330000","-78.8732830000"
"GCE930 :: Meet The Clubs - Buffalo, NY","42.9897830000","-78.8227500000"
"GC6CBA :: Braden's Skateboard Rocks (Winter Version)","43.0487330000","-78.7860500000"
"GCB93B :: Gulf Wilderness Park","43.1794500000","-78.7172670000"
"GC6921 :: Jack In The Box","43.0521670000","-78.7787500000"
"GC9194 :: Olmsted #4 - The Parade","42.9058330000","-78.8420670000"
"GCC400 :: Outwater Park","43.1805500000","-78.7058500000"
"GCE328 :: OVER THE HILL","43.0068670000","-78.7773170000"
"GCC958 :: Creek and two Roads","43.0810170000","-78.7362670000"
"GCB7AA :: Remains of  an Old  Factory","43.1741000000","-78.6902330000"
"GCFB3 :: Canal Side Quest","43.1855000000","-78.6702000000"
"GCC1BF :: Stone Haven","43.2006830000","-78.6582500000"
"GC6819 :: Olmsted #2 - South Park","42.8291500000","-78.8347670000"
"GCGA36 :: RECREATIONAL NIKE","42.7160170000","-78.8886000000"
"GCE79C :: Cazenovia Park Tree Planting","42.8485670000","-78.8090500000"
"GC681C :: Olmsted #3 - Cazenovia Park","42.8483330000","-78.8084500000"
"GC2979 :: Glen Falls Aquaview","42.9690330000","-78.7466330000"
"GC8C0E :: Olmsted #3b - Cazenovia Park","42.8457500000","-78.8056500000"
"GCG2DF :: Nice Can","42.8785330000","-78.7560830000"
"GCJHMB :: Wee Park two","42.7224170000","-78.8318000000"
"GCJHME :: Wee Park three","42.7114330000","-78.8353830000"
"GCA5E4 :: Fugly Bridge","42.8672830000","-78.7562000000"
"GCJHMA :: Wee Park one ","42.7240830000","-78.8186330000"
"GCGJ8Q :: A -=(Geo)=- Tribute cache","42.9278830000","-78.7076670000"
"GCGD77 :: The Four Giants","42.4676330000","-78.9376170000"
"GCB9D8 :: Golden Hill Boat Launch","43.3715670000","-78.4808830000"
"GCG51N :: Rudolph's Hood","42.9149000000","-78.6919170000"
"GCH527 :: Bridge Over Troubled Or No Water","42.7590000000","-78.7555330000"
"GCD62D :: Clarence Escarpment","42.9868500000","-78.6345330000"
"GCJ0PV :: NEW YORK'S  Boston red soxs","42.6898000000","-78.7724670000"
"GCG76Y :: Como Lake Park","42.8955000000","-78.6674500000"
"GCGHR3 :: Things a million","42.7116000000","-78.7581830000"
"GC18DE :: CHESTNUT RIDGE","42.7068000000","-78.7578000000"
"GCG1N1 :: Man's Best Friend","42.7227330000","-78.7431670000"
"GC5500 :: Knife Edge Ridge Cache","42.4413500000","-78.8825330000"
"GC1885 :: ETERNAL FLAME 1","42.7013830000","-78.7496170000"
"GCG39W :: BSA TROOP 555 LANCASTER, NY","42.8894830000","-78.6530170000"
"GC8A95 :: Boston Hills cache ","42.6245330000","-78.7860170000"
"GCD630 :: Tillman Rd","42.9555500000","-78.6105170000"
"GCG1X7 :: Holcomb Pond Cache","42.4482170000","-78.8628830000"
"GC79A4 :: Knox Farm State Park","42.7727500000","-78.6523830000"
"GC617A :: Nicely Done?","42.7097170000","-78.6800500000"
"GCHRFX :: Knox Blox","42.7704830000","-78.6462330000"
"GC82AD :: Wilderness Trail ?","42.4398170000","-78.7877330000"
"GCG9F8 :: Marsh Squito Threat","42.7791830000","-78.6110000000"
"GCG4JY :: Why are you, you?","42.7809670000","-78.6044500000"
"GC24A9 :: Eversure's C&S Cache","43.0152670000","-78.4863000000"
"GC5553 :: THE HOBBIT - BAG END CACHE","43.0245670000","-78.4808670000"
"GC663C :: Sinking Ponds","42.7768500000","-78.6047670000"
"GC29E8 :: East Aurora Webcam Cache","42.7678000000","-78.6081170000"
"GCB790 :: Kanyoo Find the Cache?","43.1182330000","-78.4247830000"
"GC8C51 :: Creekside Cache","42.3229170000","-78.8188330000"
"GC59D9 :: Up Up and Away","42.5898670000","-78.6393670000"
"GC6DB7 :: Cattaraugus Creek#1 Old Time Two County Connection","42.4791000000","-78.6865000000"
"GC1228 :: dobbins park","42.2806830000","-78.7842170000"
"GC504E :: Gnomes Lair","42.5888170000","-78.6242830000"
"GCCC0 :: Darien Diversion","42.9112670000","-78.4294500000"
"GC8378 :: Walk  with Giants","42.3882830000","-78.6797330000"
"GC3D0F :: Genesee Road Geocache","42.5388670000","-78.5788500000"
"GCFCA :: hill cache","42.2538500000","-78.7258000000"
"GC8528 :: Concord Pipeline?","42.5573170000","-78.5688000000"
"GCDD3E :: A Restful Place","42.6941330000","-78.4544670000"
"GCCD3A :: Byrncliff Event Gathering","42.7661830000","-78.3734170000"
"GCDD40 :: Newbie's Dream","42.7620830000","-78.3745670000"
"GCA9C0 :: Beaver Meadows #2","42.6806670000","-78.3780830000"
"GC9C81 :: Beaver Meadow","42.6728830000","-78.3788330000"
"GCDD3F :: Rose Acres","42.6401670000","-78.3493670000"
"GCGBGP :: Cascade Cache","42.8170330000","-78.2541000000"
"GCG1AW :: Spring in DeWitt Park","42.9922500000","-78.1558330000"
"GCG2MT :: Frances J. Bartholf Memorial","42.9585170000","-78.1307000000"
"GCA410 :: Wyoming County Forest #1","42.6672000000","-78.2650330000"
"GC9D4F :: The LARCH","42.8779000000","-78.1266500000"
"GCA5B8 :: Cats and Dogs","42.8773670000","-78.1237830000"
"GCG3JE :: Rushford Runaround","42.3370330000","-78.2471000000"
"GCF887 :: Bogged Down","42.2905000000","-78.2440000000"
"GC81FA :: Bullhead Cache","42.3954170000","-78.1876000000"
"GCG01T :: Low Bridge","42.2639000000","-78.2425170000"
"GCG0YQ :: In Tow","42.2810330000","-78.2061000000"
"GCD17 :: 1856 Mule Path","42.5786330000","-77.9741330000"
"GC9E89 :: Genesee Valley Park I","43.1146670000","-77.6372170000"
"GCE3DE :: 2003 New York Area Cachers Picnic!","43.2296670000","-77.5617830000"
"GCF460 :: Tamarack Swamp","43.2344330000","-77.5518500000"
"GC66AA :: Global Geocache","43.1117000000","-77.5999670000"
"GC3E4B :: Cacher's Cache Can","43.0375170000","-77.5710000000"
"GCAD7 :: Mendon Ponds #2","43.0202830000","-77.5769500000"
"GC629 :: Mendon Ponds Cache","43.0272330000","-77.5708830000"
"GC477B :: Iroquois Transplanted","43.0494000000","-77.5556170000"
"GC7AA0 :: Cartoon Cache","43.0373170000","-77.5304670000"
"GCA559 :: PollyWogg Holler","42.2690670000","-77.8765670000"
"GC6EE :: Joannes' Trek","43.0367170000","-77.4786170000"
"GC751 :: Klipnocky State Forest  Geocache","42.3798830000","-77.8010670000"
"GC1A09 :: Phillips Creek Ski Trail Treasure","42.2562830000","-77.8559500000"
"GC970 :: Stony Brook State Park Geocache","42.5129330000","-77.6920000000"
"GC4EA0 :: Petey's Plunder","42.7363330000","-76.9182330000"
"GCE928 :: 2003 NYGO State Picnic","42.7289170000","-76.9139670000"
"GC9FFC :: May-Day...May-Day!","42.9987830000","-76.7657830000"
"GCEA2D :: Pieces of 8","42.7209330000","-76.8973330000"
"GC572F :: Red Dog's Revenge","42.7293000000","-76.8918830000"
"GCG0D5 :: Petey's Keep Out Place I","42.7061670000","-76.9007000000"
"GCEA23 :: RIP Billy Bones","42.7086000000","-76.8974670000"
"GCG0CZ :: Captain Flint","42.7110830000","-76.8934330000"
"GCC0CB :: Crate for Li'l Critters","42.9145830000","-76.7867000000"
"GCEDC9 :: A Jungle Along the Tiohero","43.0211830000","-76.7127170000"
"GC84BB :: Cayuga Do It?","42.9291500000","-76.7452330000"
"GCF9D5 :: Montezuma Tree House","43.0108670000","-76.6973000000"
"GCF9DC :: A Restful Stop in Port Byron","43.0235170000","-76.6701170000"
"GCF881 :: Another Canal Cache!","43.0391330000","-76.6097830000"
"GCF8AB :: Erie Canal Trail Cache","43.0391830000","-76.5997170000"
"GCEDCB :: Remains of the Erie Canal","43.0449830000","-76.5677170000"
"GCCC1E :: Galacticache","43.0510500000","-76.5447000000"
"GC98D8 :: "Casey" at the Park","42.9466170000","-76.5825830000"
"GCB674 :: Early Irish Immigrants","42.9534170000","-76.5774000000"
"GCFA67 :: Birthplace of the "Talkies"","42.9280000000","-76.5753830000"
"GCDC4E :: Prison City Puzzler","42.9352830000","-76.5708330000"
"GCDAAF :: Where the Crows Fly 4/26/03","42.9349330000","-76.5665830000"
"GCB54D :: Pomeroy Park","42.9283670000","-76.5696830000"
"GCF9D0 :: Freedom Park","42.9331330000","-76.5664500000"
"GCD88E :: Urban Cowboys and Indians","42.9244000000","-76.5688170000"
"GC8E8E :: A Tribute to Music and LOCAL Music Makers","42.9051170000","-76.5770830000"
"GCA027 :: Cayuga Nature & Fitness Trail","42.9466830000","-76.5419330000"
"GCB2FF :: Quarter Quest","42.9319170000","-76.5422330000"
"GC911F :: Gone Fishin...Back Soon! (New Spring Coordinates!)","42.9030830000","-76.5440500000"
"GCB634 :: A Well Hidden Trail!","42.9062170000","-76.5339830000"
"GC2A2D :: Skinny Kreek Krossing","42.9698830000","-76.4425330000"
"GCA71 :: Crafty Cache","42.9670330000","-76.4428330000"
"GCBE19 :: Brer Rabbit's Patch in the Fingerlakes Region!","42.9554330000","-76.4304170000"
"GC25F7 :: Pensive Point","43.1301670000","-76.2504500000"
"GC3322 :: Longbranch Letterbox","43.1190830000","-76.2481000000"
"GC3A5D :: Happy Valentine's Day, Every Day!","43.1106330000","-76.2468330000"
"GC3CB6 :: Travel Bug Rest Stop","43.1151500000","-76.2429830000"
"GC7301 :: John Haley Memorial Trail","43.0921670000","-76.2327000000"
"GC265C :: Ninemile Milestone #2","43.0889170000","-76.2304830000"
"GC2C67 :: Oakwood Vista","43.0300170000","-76.1374330000"
"GC20F9 :: Stairway to Heaven III","43.0355500000","-76.1213330000"
"GC84C :: Morningside Conundrum III","43.0276670000","-76.1252170000"
"GC71F :: Captain Hook's Hideaway III","43.0250330000","-76.1158000000"
"GC4024 :: Beat Feet (adopted by Enspyer)","43.0354170000","-76.0904000000"
"GC4025 :: New Angel's First Landing (adopted by sl33py)","43.0342670000","-76.0846170000"
"GCCEB0 :: Little Lots #1 - Seminole Bridge","27.9731670000","-82.8015000000"
"GC9E38 :: "Sitting on the Dock of the Bay"","27.9556170000","-82.8063170000"
"GC9D4A :: Be-Cause-way Cache","27.9168830000","-82.8363670000"
"GCB7CE :: You must be "Bluffing"","27.9340500000","-82.8157830000"
"GCD480 :: Keegan Clair Park","27.8809000000","-82.8488330000"
"GCC96A :: Narrows Crossroads Micro","27.8829170000","-82.8425500000"
"GCCBFF :: End of Valentines","27.8881330000","-82.8360000000"
"GCD029 :: "Taylor" of Panama","27.8996170000","-82.8073330000"
"GC9FC7 :: The Beantown-Sunshine Connection!","27.8829170000","-82.8099670000"
"GCA532 :: Microcache Stash","27.9080000000","-82.7853000000"
"GCD0E4 :: Big Lots #7 - Wear your tennies!","27.9541830000","-82.7363500000"
"GCC0A0 :: Trail Blaze","27.8855830000","-82.7995000000"
"GC967C :: Red Rover, Red Rover, send everyone over!","27.9198330000","-82.7398830000"
"GCB897 :: Cookies!","27.9878000000","-82.5594500000"
"GC86D4 :: Tampa Airport Travel Bug Portal","27.9718170000","-82.5494330000"
"GCDB7A :: Quick Lassie!  The cache fell down the canal","27.9684500000","-82.5490170000"
